Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,100uF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
R1,0805,1,330,
U1,SOT-23-5_HandSoldering,1,74AHCT1G125,
