Designator,Mid X,Mid Y,Rotation,Layer
C1,112.9375,-33.5,0.0,bottom
C2,112.9375,-38.0,0.0,bottom
D1,121.9,-35.0,180.0,top
D10,49.9,-35.0,180.0,top
D11,41.9,-35.0,180.0,top
D12,33.9,-35.0,180.0,top
D2,113.9,-35.0,180.0,top
D3,105.9,-35.0,180.0,top
D4,97.9,-35.0,180.0,top
D5,89.9,-35.0,180.0,top
D6,81.9,-35.0,180.0,top
D7,73.9,-35.0,180.0,top
D8,65.9,-35.0,180.0,top
D9,57.9,-35.0,180.0,top
R1,118.5,-38.5,180.0,bottom
U1,118.65,-34.5,180.0,bottom
